index,country code,country,année,quantile,nb_quantiles,log_income,income,gdpppp,gini,population,cluster
10960,USA,United States,2008,62,100,4.380934571723653,24040.006,43261.0,43.2,23040000,1
10961,USA,United States,2008,63,100,4.389956755089137,24544.645,43261.0,43.2,23040000,1
10962,USA,United States,2008,64,100,4.3986645021000665,25041.74,43261.0,43.2,23040000,1
10963,USA,United States,2008,65,100,4.407096096106344,25532.662,43261.0,43.2,23040000,1
10964,USA,United States,2008,66,100,4.41616571878355,26071.482000000004,43261.0,43.2,23040000,1
10965,USA,United States,2008,67,100,4.424501609679404,26576.734,43261.0,43.2,23040000,1
10966,USA,United States,2008,68,100,4.433126201486757,27109.792999999998,43261.0,43.2,23040000,1
10967,USA,United States,2008,69,100,4.441533639169929,27639.72,43261.0,43.2,23040000,1
10968,USA,United States,2008,70,100,4.450640136075781,28225.402000000002,43261.0,43.2,23040000,1
10969,USA,United States,2008,71,100,4.459909277107302,28834.291,43261.0,43.2,23040000,1
10970,USA,United States,2008,72,100,4.46955648520054,29481.968999999997,43261.0,43.2,23040000,1
10971,USA,United States,2008,73,100,4.479014467921942,30131.064,43261.0,43.2,23040000,1
10972,USA,United States,2008,74,100,4.488185713493719,30774.125,43261.0,43.2,23040000,1
10973,USA,United States,2008,75,100,4.49872162916018,31529.83,43261.0,43.2,23040000,1
10974,USA,United States,2008,76,100,4.509122204039511,32294.027000000002,43261.0,43.2,23040000,1
10975,USA,United States,2008,77,100,4.519163448025024,33049.39,43261.0,43.2,23040000,1
10976,USA,United States,2008,78,100,4.529586089801467,33852.137,43261.0,43.2,23040000,1
10977,USA,United States,2008,79,100,4.540565744305727,34718.883,43261.0,43.2,23040000,1
10978,USA,United States,2008,80,100,4.551241510985104,35582.914,43261.0,43.2,23040000,1
10979,USA,United States,2008,81,100,4.562972211930411,36557.14,43261.0,43.2,23040000,1
10980,USA,United States,2008,82,100,4.574442297919305,37535.508,43261.0,43.2,23040000,1
10981,USA,United States,2008,83,100,4.585807642967486,38530.766,43261.0,43.2,23040000,1
10982,USA,United States,2008,84,100,4.598389797428621,39663.387,43261.0,43.2,23040000,1
10983,USA,United States,2008,85,100,4.61127984645906,40858.258,43261.0,43.2,23040000,1
10984,USA,United States,2008,86,100,4.625167782107171,42185.945,43261.0,43.2,23040000,1
10985,USA,United States,2008,87,100,4.639239189765858,43575.18,43261.0,43.2,23040000,1
10986,USA,United States,2008,88,100,4.654587819431256,45142.73,43261.0,43.2,23040000,1
10987,USA,United States,2008,89,100,4.670975587486674,46878.703,43261.0,43.2,23040000,1
10988,USA,United States,2008,90,100,4.688968395142255,48861.68,43261.0,43.2,23040000,1
